window_start,window_end,window_months,param_tests,pct_params_outperform,avg_diff_nav,median_diff_nav,best_diff_nav,worst_diff_nav
2019-10-21,2021-02-22,16,36,100.0,3183.0196419948356,3334.2654810333006,5693.487356405967,320.4141499999969
2019-11-21,2021-02-22,15,36,100.0,3183.0196419948356,3334.2654810333006,5693.487356405967,320.4141499999969
2019-05-16,2022-11-16,42,36,100.0,3164.379740762933,2808.1738067344922,7646.998247997988,193.5934599999964
2019-08-19,2024-03-19,55,36,100.0,3150.367200905499,3106.860580209199,7160.379755864145,319.39049499999237
2020-06-26,2023-11-27,41,36,100.0,3147.2120179390345,3314.2412294753485,6778.624294635862,109.74064999999973
2020-03-24,2024-04-24,49,36,100.0,3129.9343177480177,3236.5052364179755,5270.498008958981,502.54557000000204
2019-06-17,2021-03-17,21,36,100.0,3123.1501702808127,2710.267996186063,7417.3562072914065,227.09885000000213
2019-07-17,2021-03-17,20,36,100.0,3123.1501702808127,2710.267996186063,7417.3562072914065,227.09885000000213
2019-12-23,2021-10-25,22,36,100.0,3107.9572771263024,3377.3982411171164,5224.540141451027,296.3711500000063
2019-06-17,2023-06-19,48,36,100.0,3101.232049941974,2741.5315362889596,7331.821252154245,221.9094100000002
2019-07-17,2023-06-19,47,36,100.0,3101.232049941974,2741.5315362889596,7331.821252154245,221.9094100000002
2020-01-23,2024-04-23,51,36,100.0,3099.9632447809086,3327.7835212537684,4979.865601310994,382.5211599999966
2019-10-21,2024-03-21,53,36,100.0,3055.4699308429495,3259.532352790262,4962.103060394169,339.8150874999992
2019-11-21,2024-03-21,52,36,100.0,3055.4699308429495,3259.532352790262,4962.103060394169,339.8150874999992
2019-08-19,2021-02-19,18,36,100.0,3053.2342142926927,3026.425869046394,7384.409317322083,284.23065000000497
2020-01-23,2022-02-23,25,36,100.0,3051.2169319835616,3210.7733972838214,5085.073809223599,313.272649999999
2020-04-24,2021-10-25,18,36,100.0,3035.3449804924935,2990.609188816128,5575.856468559003,453.48360000000685
2019-05-16,2023-03-16,46,36,100.0,3020.800909080489,2648.5393443897046,7432.777668572722,172.7045724999989
2019-10-21,2022-07-21,33,36,100.0,3018.5019920486247,3245.3029514179434,5133.094193292156,291.84825000000274
2019-11-21,2022-07-21,32,36,100.0,3018.5019920486247,3245.3029514179434,5133.094193292156,291.84825000000274
2019-06-17,2024-02-19,56,36,100.0,3018.4392872785775,2654.6722392953416,7217.561641973094,210.76867000000493
2019-07-17,2024-02-19,55,36,100.0,3018.4392872785775,2654.6722392953416,7217.561641973094,210.76867000000493
2020-06-26,2024-01-26,43,36,100.0,3015.361029123425,3156.2682046145965,6569.307446666986,99.26644999999553
