take_profit_pct,trim_pct,windows,mean_diff,median_diff,left_tail_p05,left_tail_p10,right_tail_p90,right_tail_p95,pct_outperform,score_left,score_right,score_robust,tail_objective_score
0.1,0.3,2926,-831.2219866258017,-548.7622579500057,-7783.8307737175855,-6265.0098933799345,4127.916947336995,5962.545605952262,41.42173615857826,0.16268172031986342,0.8266382082478255,0.8190255220417634,0.42750304687044205
0.1,0.25,2926,-832.0045102404717,-483.8442163085929,-7433.326401350385,-5777.471341109267,3694.0687040562625,5392.592186816323,40.80656185919344,0.2043485210263203,0.7427437912847806,0.777262180974478,0.42315846809867413
0.1,0.2,2926,-811.429475266166,-420.3382951159365,-7031.818178015572,-5252.594691017657,3237.1963182399995,4734.037941823472,40.66985645933015,0.2520784908715146,0.645807756571677,0.7679814385150816,0.42178756534592005
0.08,0.15,2926,-861.8489545071708,-645.2592917250004,-7047.30857860783,-5149.6115875199575,3288.8866762174657,4544.457309379601,41.31920710868079,0.2502370432742087,0.6179023943221167,0.8120649651972159,0.41671944078088186
0.08,0.2,2926,-908.3547845352347,-731.2960051199916,-7509.232640124279,-5822.195959352732,3833.0782679355107,5249.6834159661485,41.49008885850991,0.1953250383747112,0.7217083038101082,0.8236658932714616,0.4160741034950053
0.08,0.3,2926,-932.41667117981,-878.1835062793907,-8284.766471680865,-6661.045651758068,4584.2158275855,6131.266904094271,43.233082706766915,0.1031321410868854,0.8514731762673714,0.9419953596287703,0.4115207734952197
0.08,0.25,2926,-927.50673899149,-846.264718749997,-8120.2312861646515,-6363.074465684709,4221.488497739341,5729.67207261403,42.549555707450445,0.12269153984075246,0.7923603380752887,0.8955916473317868,0.40088219006021675
0.12,0.2,2926,-911.1279158079483,-430.9642399999975,-6177.953459600001,-4645.114309393921,2236.331154828804,3249.5679849600056,37.49145591250854,0.35358310495725265,0.4273008797833597,0.5522041763341067,0.3955605445427702
0.05,0.3,2926,-1050.0370839442103,-1063.7032538013373,-9152.322073974627,-7496.365431016246,5105.650482681751,7140.313442400891,42.857142857142854,0.0,1.0,0.9164733178654292,0.39164733178654293
0.05,0.25,2926,-1099.7249599495121,-1081.198538356286,-8891.462349952155,-7359.704231456082,4797.2759977526,6642.6428472895495,42.378673957621324,0.031010141356521317,0.9267452689733591,0.8839907192575406,0.3850287374316746
0.05,0.2,2926,-1134.2466184502912,-1001.2936996380449,-8710.490657583396,-7043.11054727951,4308.304479942795,6164.507121826267,42.03691045796309,0.052523457691244856,0.8563659773151802,0.8607888631090488,0.37450275412020584
0.05,0.15,2926,-1140.577611581138,-891.9881980213977,-8237.932299276235,-6614.176855298912,3893.173448611451,5461.271108070354,41.28503075871497,0.10869963262673743,0.7528529999723831,0.8097447795823666,0.372050157525994
0.05,0.1,2926,-1086.4279741944617,-724.8150142965897,-7692.580613592741,-5765.653319989469,3123.9654560404015,4564.92593322844,40.77238550922762,0.17352923760096298,0.6209152778423833,0.7749419953596292,0.3678863254492557
0.12,0.25,2926,-982.7894481779557,-510.0202500000014,-6966.785072677612,-5137.542558926594,2640.990707473753,3743.3124479980506,37.935748462064254,0.2598094113765518,0.4999777029491995,0.5823665893271464,0.3641156166434055
0.12,0.3,2926,-1026.5473835971382,-570.010047890748,-7306.0428283926085,-5534.866770777902,2976.4098038949196,4149.021128400003,38.038277511961724,0.21947957126634787,0.5596960800242392,0.5893271461716939,0.3585292813842499
