Date,Open,High,Low,Close
2023-02-02,1.12446,1.1252,1.11554,1.11692
2023-02-03,1.11694,1.12098,1.11482,1.11623
2023-02-06,1.11611,1.11843,1.11123,1.11527
2023-02-07,1.11551,1.11686,1.10797,1.1106
2023-02-08,1.11057,1.11356,1.10985,1.11164
2023-02-09,1.11159,1.11886,1.11102,1.11808
2023-02-10,1.11803,1.11972,1.11359,1.11365
2023-02-13,1.11355,1.11831,1.11017,1.11598
2023-02-14,1.11597,1.12253,1.11403,1.1218
2023-02-15,1.12179,1.12284,1.10929,1.11119
2023-02-16,1.11151,1.11303,1.10814,1.10976
2023-02-17,1.11004,1.11542,1.10761,1.11353
2023-02-20,1.11301,1.11339,1.10937,1.11189
2023-02-21,1.11187,1.12474,1.11023,1.12322
2023-02-22,1.12348,1.1245,1.11967,1.12153
2023-02-23,1.12163,1.12498,1.12018,1.12226
2023-02-24,1.12229,1.12635,1.11957,1.12365
2023-02-27,1.12397,1.12974,1.12307,1.12856
2023-02-28,1.12843,1.13626,1.12805,1.13338
2023-03-01,1.13343,1.13552,1.12524,1.12978
2023-03-02,1.12975,1.13135,1.12384,1.12597
2023-03-03,1.12586,1.12798,1.12258,1.12761
2023-03-06,1.1271,1.12773,1.11884,1.11959
2023-03-07,1.11966,1.12116,1.11292,1.1141
2023-03-08,1.11417,1.1169,1.11171,1.11485
2023-03-09,1.11465,1.1173,1.11141,1.11232
2023-03-10,1.11222,1.11569,1.1066,1.10804
2023-03-13,1.10808,1.1116,1.09911,1.11081
2023-03-14,1.11079,1.11458,1.1057,1.11095
2023-03-15,1.11095,1.12595,1.10966,1.12385
2023-03-16,1.12386,1.12845,1.11622,1.12535
2023-03-17,1.12535,1.13154,1.12207,1.1282
2023-03-20,1.12945,1.14111,1.12585,1.14043
2023-03-21,1.14043,1.14139,1.12311,1.12716
2023-03-22,1.12707,1.13427,1.12502,1.12544
2023-03-23,1.12543,1.13032,1.12323,1.12589
2023-03-24,1.12583,1.12721,1.12068,1.12522
2023-03-27,1.1244,1.12637,1.12211,1.12537
2023-03-28,1.12525,1.13589,1.12472,1.13509
2023-03-29,1.13502,1.13621,1.13069,1.13147
